id,Background Category,Background Description,Background Reference Image,Camouflaged Object Super-category,Camouflaged Object Sub-category,Camouflaged Object Description,Camouflaged Object Reference Image,Prompt,Instruction
41,High-Frequency Texture,Fireworks exploding in the night sky.,011_high_frequency_texture.png,Textual Elements,Short Word,the word DOG,011_textual_elements_short_word_dog.png,"A dazzling display of fireworks lighting up the night sky, where the bursts of color and the trails of light subtly arrange themselves into the faint, ephemeral outline of the word 'DOG' in the sky.","Subtly reorganize the bursts of light and sparks in the fireworks to form the faint, abstract shape of the word DOG, using the existing explosions and trails without introducing new elements."
65,High-Frequency Texture,Pine forest in a heavy snowstorm.,017_high_frequency_texture.png,Textual Elements,Long Word,the word INTELLIGENCE,017_textual_elements_long_word_intelligence.png,"A pine forest in the midst of a heavy snowstorm, where the swirling snowflakes and dense trees, combined with the play of light and shadows, subtly form the illusion of the word 'INTELLIGENCE' in the spaces between the trunks and falling snow.",Subtly rearrange the snowflakes and branches in the pine forest to faintly form the letters of the word 'INTELLIGENCE' without adding any new elements.
233,High-Frequency Texture,Fluffy dandelion seeds close-up.,027_high_frequency_texture.png,Geometry & Shapes,Complex Concave Shape & Icon,a Yin-Yang symbol,059_geometry_and_shapes_complex_concave_shape_and_icon_taiji.png,"A close-up of fluffy dandelion seeds, where the delicate wisps and subtle patterns of the seed clusters gently form the faint, emerging shape of a Yin-Yang symbol through the interplay of light, shadow, and negative space.","Subtly rearrange the dandelion seeds and their wispy trails to faintly form the shape of a Yin-Yang symbol, without introducing any new elements."
281,High-Frequency Texture,Old brick wall covered in graffiti.,007_high_frequency_texture.png,Rigid Objects,Vehicles,a steam train,071_rigid_objects_vehicles_steam_train.png,"An old brick wall covered in vibrant graffiti, where the colors and intricate shapes subtly merge to form the faint, illusionary outline of a steam train emerging from the abstract patterns.",Subtly rearrange the cracks and graffiti patterns on the brick wall to faintly form the silhouette of a steam train without introducing new elements.
389,High-Frequency Texture,Scattered red and yellow maple leaves on grass.,002_high_frequency_texture.png,Non-Rigid Objects,Animals,a dog,098_non_rigid_objects_animals_dog.png,"Scattered red and yellow maple leaves across a grassy field, where the arrangement of leaves and the interplay of light and shadows subtly form the faint, illusionary shape of a dog resting among the foliage.",Subtly rearrange the scattered leaves and their shadows to faintly form the silhouette of a dog without adding new objects.
461,High-Frequency Texture,Messy stacks of old books and papers.,020_high_frequency_texture.png,Non-Rigid Objects,Plants,a lotus,116_non_rigid_objects_plants_lotus.png,"A disorganized pile of old books and scattered papers, where the arrangement of pages and overlapping covers subtly form the delicate, emerging silhouette of a lotus flower, as if revealed through the interplay of shadows and negative space.","Subtly rearrange the crumpled papers and worn edges of the books to faintly form the delicate petals of a lotus, without adding new objects."
38,Structured Texture,Steel cables of a suspension bridge.,042_structured_texture.png,Textual Elements,Short Word,the word CAT,010_textual_elements_short_word_cat.png,"Steel cables of a suspension bridge, where the intricate network of wires and shadows subtly intertwine to form the faint, emergent shape of the word 'CAT' within the structure.","Subtly adjust the alignment, spacing, and tension of the existing steel cables so their structured lines faintly spell the word CAT, disguising the letters within the bridge’s natural cable grid without adding new elements."
70,Structured Texture,Metal pipes of a church organ.,050_structured_texture.png,Textual Elements,Long Word,the word SUSTAINABILITY,018_textual_elements_long_word_sustainability.png,"A set of metal pipes from a grand church organ, where the arrangement of the pipes, their varying lengths, and the interplay of light and shadow subtly form the faint, emergent outline of the word 'SUSTAINABILITY' across the scene.",Alter the alignment and pattern of the metal pipes to subtly form the letters of the word 'SUSTAINABILITY' without introducing new elements.
195,Directional Texture,Abstract fractal geometric pattern.,081_directional_texture.png,Geometry & Shapes,Complex Concave Shape & Icon,the shape of a star,049_geometry_and_shapes_complex_concave_shape_and_icon_star.png,"An intricate abstract fractal geometric pattern, where the overlapping lines and vibrant colors subtly arrange themselves in a way that forms the faint, emergent shape of a star, almost hidden within the complexity of the design.","Bend the flow of the fractal lines and shapes to subtly suggest the form of a star, blending it seamlessly into the existing pattern."
270,Structured Texture,Electronic circuit board with golden traces.,036_structured_texture.png,Rigid Objects,Vehicles,a truck,068_rigid_objects_vehicles_truck.png,"An electronic circuit board with intricate golden traces, where the arrangement of copper lines and subtle shadows within the design suggests the faint, emergent outline of a truck.","Modify the alignment of the golden traces and the grid-like pattern of the circuit board to subtly resemble the outline of a truck, without adding any new elements."
395,Directional Texture,Cyberpunk street with neon rain.,067_directional_texture.png,Non-Rigid Objects,Animals,an elephant,099_non_rigid_objects_animals_elephant.png,"A cyberpunk street illuminated by neon lights and drenched in rain, where the reflections on the wet pavement and the vibrant glow of the signs subtly create the faint, abstract silhouette of an elephant in the chaotic urban landscape.","Subtly bend the flow of neon rain streaks, reflections, and street light trails so their directional lines faintly suggest the silhouette of an elephant, using existing shadows and highlights to disguise the form within the cyberpunk scene."
443,Directional Texture,Colorful stained glass light spots.,079_directional_texture.png,Non-Rigid Objects,Plants,a sunflower,111_non_rigid_objects_plants_sunflower.png,"A vibrant array of colorful stained glass light spots scattered across a room, where the interplay of vivid hues and shadows subtly forms the outline of a sunflower, its petals emerging through the shifting light patterns.","Alter the flow of the light spots and their reflections to subtly suggest the shape of a sunflower, with the spots forming the petals and the center."
