id,Background Category,Description,Reference Image
1,High-Frequency Texture,A dense tropical rainforest floor with ferns.,001_high_frequency_texture.png
2,High-Frequency Texture,Scattered red and yellow maple leaves on grass.,002_high_frequency_texture.png
3,High-Frequency Texture,A pile of fresh colorful fruits at a market.,003_high_frequency_texture.png
4,High-Frequency Texture,Underwater coral reef with schools of fish.,004_high_frequency_texture.png
5,High-Frequency Texture,A field of blooming colorful wildflowers.,005_high_frequency_texture.png
6,High-Frequency Texture,Rough riverbed covered with jagged rocks.,006_high_frequency_texture.png
7,High-Frequency Texture,Old brick wall covered in graffiti.,007_high_frequency_texture.png
8,High-Frequency Texture,Raindrops splashing on a wet city street.,008_high_frequency_texture.png
9,High-Frequency Texture,A pile of rusty mechanical gears.,009_high_frequency_texture.png
10,High-Frequency Texture,Scattered wheat stalks on a harvested field.,010_high_frequency_texture.png
11,High-Frequency Texture,Fireworks exploding in the night sky.,011_high_frequency_texture.png
12,High-Frequency Texture,A bowl of ramen with chopped green onions.,012_high_frequency_texture.png
13,High-Frequency Texture,Old stone wall covered in climbing ivy.,013_high_frequency_texture.png
14,High-Frequency Texture,Turbulent ocean waves with white foam.,014_high_frequency_texture.png
15,High-Frequency Texture,Green plant cells under a microscope.,015_high_frequency_texture.png
16,High-Frequency Texture,A pile of colorful LEGO bricks.,016_high_frequency_texture.png
17,High-Frequency Texture,Pine forest in a heavy snowstorm.,017_high_frequency_texture.png
18,High-Frequency Texture,A close-up pile of dark coffee beans.,018_high_frequency_texture.png
19,High-Frequency Texture,A crowded music festival audience.,019_high_frequency_texture.png
20,High-Frequency Texture,Messy stacks of old books and papers.,020_high_frequency_texture.png
21,High-Frequency Texture,Dry cracked earth texture.,021_high_frequency_texture.png
22,High-Frequency Texture,Aerial view of sheep on a grassland.,022_high_frequency_texture.png
23,High-Frequency Texture,Shattered colorful glass shards.,023_high_frequency_texture.png
24,High-Frequency Texture,Old TV static noise screen.,024_high_frequency_texture.png
25,High-Frequency Texture,Intricate Persian carpet pattern.,025_high_frequency_texture.png
26,High-Frequency Texture,Raging fire flames and sparks.,026_high_frequency_texture.png
27,High-Frequency Texture,Fluffy dandelion seeds close-up.,027_high_frequency_texture.png
28,High-Frequency Texture,Tangled colorful yarn balls.,028_high_frequency_texture.png
29,High-Frequency Texture,Peeling paint on an old wooden wall.,029_high_frequency_texture.png
30,High-Frequency Texture,Spider web with water droplets.,030_high_frequency_texture.png
31,High-Frequency Texture,Dense starry sky with the Milky Way.,031_high_frequency_texture.png
32,High-Frequency Texture,A pile of gold coins and jewelry.,032_high_frequency_texture.png
33,Structured Texture,Glass facade of a modern skyscraper.,033_structured_texture.png
34,Structured Texture,Straight highway stretching to the horizon.,034_structured_texture.png
35,Structured Texture,Library shelves filled with books.,035_structured_texture.png
36,Structured Texture,Electronic circuit board with golden traces.,036_structured_texture.png
37,Structured Texture,Striped shadows from window blinds.,037_structured_texture.png
38,Structured Texture,Vertical bamboo forest stalks.,038_structured_texture.png
39,Structured Texture,Warehouse shelves with stacked boxes.,039_structured_texture.png
40,Structured Texture,Vertical columns inside a Gothic cathedral.,040_structured_texture.png
41,Structured Texture,Checkerboard marble floor pattern.,041_structured_texture.png
42,Structured Texture,Steel cables of a suspension bridge.,042_structured_texture.png
43,Structured Texture,Arrays of solar panels.,043_structured_texture.png
44,Structured Texture,Round keys of a vintage typewriter.,044_structured_texture.png
45,Structured Texture,Aerial view of a city grid.,045_structured_texture.png
46,Structured Texture,Japanese Tatami room with Shoji doors.,046_structured_texture.png
47,Structured Texture,Server racks in a data center.,047_structured_texture.png
48,Structured Texture,Brick sidewalk with herringbone pattern.,048_structured_texture.png
49,Structured Texture,Construction scaffolding grid.,049_structured_texture.png
50,Structured Texture,Metal pipes of a church organ.,050_structured_texture.png
51,Structured Texture,Top-down view of a spiral staircase.,051_structured_texture.png
52,Structured Texture,Industrial pipelines in a factory.,052_structured_texture.png
53,Structured Texture,Chain-link fence texture.,053_structured_texture.png
54,Structured Texture,Traditional tiled roof rows.,054_structured_texture.png
55,Structured Texture,Geometric glass dome structure.,055_structured_texture.png
56,Structured Texture,Rows of purple lavender fields.,056_structured_texture.png
57,Structured Texture,Supermarket shelves with products.,057_structured_texture.png
58,Structured Texture,Black and white crosswalk stripes.,058_structured_texture.png
59,Structured Texture,Rows of stadium seats.,059_structured_texture.png
60,Structured Texture,Woven wicker basket texture.,060_structured_texture.png
61,Structured Texture,Parallel lines of a radiator grille.,061_structured_texture.png
62,Structured Texture,Stacked newspapers side view.,062_structured_texture.png
63,Structured Texture,Metal steps of an escalator.,063_structured_texture.png
64,Structured Texture,Hexagonal honeycomb cells.,064_structured_texture.png
65,Directional Texture,Van Gogh style Starry Night painting.,065_directional_texture.png
66,Directional Texture,Traditional Chinese ink wash mountains.,066_directional_texture.png
67,Directional Texture,Cyberpunk street with neon rain.,067_directional_texture.png
68,Directional Texture,Colorful abstract watercolor painting.,068_directional_texture.png
69,Directional Texture,Colorful ink smoke in water.,069_directional_texture.png
